customer_id	viewed_products	bought_products	put_in_cart_products	num_of_times_search_was_used	end	time_spent_in_minutes
2433	[26]	[46, 26]	[]	0	1721477041460	6.8666833333333335
2486	[24, 34, 24, 24]	[]	[34, 24, 24, 24]	6	1721480875527	10.885283333333334
3068	[34, 34, 34]	[]	[24, 34]	0	1721484077755	17.13105
2804	[26, 55, 9, 6, 47, 15, 26]	[26, 55, 54, 45]	[34, 26, 55, 47]	2	1721477548046	19.878383333333332
20393	[43, 26, 23, 24]	[]	[]	2	1721479977316	5.107333333333333
22644	[43, 41, 23, 23]	[]	[43, 41]	1	1721485470195	4.041483333333334
20843	[35]	[]	[]	1	1721479674041	25.71005
5997	[]	[]	[]	0	1721481526339	0.33161666666666667
14946	[24]	[]	[]	0	1721479061682	0.71215
13191	[4, 18, 18, 18, 41, 23, 3, 23, 23]	[]	[4, 18, 41, 23]	0	1721483314961	11.959883333333334
20342	[24, 24]	[]	[]	0	1721484845492	0.25221666666666664
18735	[2]	[]	[]	0	1721480008057	0.04926666666666667
5782	[20, 10]	[]	[]	0	1721486640977	0.8910833333333333
8068	[4, 4]	[34, 4, 45]	[4, 4]	1	1721485494487	11.819516666666667
3397	[4, 26, 6, 4]	[]	[]	0	1721478076424	3.97825
1449	[]	[32, 9, 22]	[2, 2, 2]	0	1721478881828	2.106516666666667
5220	[24, 24]	[]	[]	0	1721478641858	13.036166666666666
16138	[]	[]	[]	0	1721481337898	0.23685
1442	[18, 18]	[]	[18, 18, 18, 18, 18]	0	1721478839236	5.529983333333333
3054	[4, 54, 51, 29, 34, 50]	[]	[]	0	1721486797284	2.3162
8554	[41]	[]	[]	0	1721488243721	0.25621666666666665
8986	[41, 6, 41, 4, 21]	[]	[41, 21]	1	1721483042424	12.042666666666667
8915	[2, 24, 24, 24, 24, 24, 24, 26, 33]	[]	[2, 2, 2, 2, 2, 2, 2, 24, 24, 24, 33]	0	1721481456169	3.6179333333333332
21124	[]	[]	[]	0	1721487190851	5.3737
23885	[]	[41, 41, 34]	[33, 33, 33]	0	1721482729066	4.9295
3338	[26]	[]	[34, 34, 34, 34, 34, 34, 34]	0	1721484068758	0.9047833333333334
8195	[34]	[]	[34, 34, 34, 34]	5	1721483860800	3.35765
23263	[21, 21]	[]	[]	0	1721485750074	0.45743333333333336
23590	[26, 4]	[]	[21, 4]	0	1721487321053	3.2274
16399	[3]	[]	[]	0	1721482058828	0.12813333333333332
18078	[34, 34]	[]	[]	0	1721484202325	28.40875
15865	[2, 47, 47]	[]	[]	4	1721485972374	4.542566666666667
20414	[18]	[]	[]	1	1721480599226	19.5044
17509	[26]	[]	[]	0	1721481970850	0.21295
14148	[24]	[]	[]	0	1721488219145	0.7096833333333333
20254	[16, 4, 34, 23, 34]	[]	[]	0	1721486083759	2.83215
5007	[24, 24, 41, 41, 41, 24]	[]	[]	3	1721481739881	16.872516666666666
11073	[47, 26, 26]	[]	[]	0	1721485879606	1.6811333333333334
14732	[2, 2]	[]	[]	0	1721486237537	0.08856666666666667
6570	[34, 34, 34, 24, 24]	[]	[34, 34]	0	1721489435990	34.77498333333333
4277	[15, 54, 4, 21]	[]	[54, 4, 4, 4]	0	1721484717865	3.382433333333333
6818	[15, 15]	[]	[]	0	1721485915333	0.5403
16134	[]	[]	[]	0	1721484823677	0.27586666666666665
10278	[4]	[]	[4]	0	1721483635524	3.42815
16320	[15]	[]	[15, 15, 15, 15]	0	1721482750861	2.9825333333333335
6431	[18]	[]	[]	1	1721486295100	0.113
1478	[6, 24]	[]	[]	0	1721483500450	1.0900666666666667
4404	[]	[]	[]	0	1721483427990	2.6022833333333333
21224	[34, 41, 8, 41, 24, 10]	[]	[]	0	1721491082801	9.2893
15302	[33, 6]	[]	[33, 6]	2	1721488977777	2.0313666666666665
5220	[24, 24]	[24, 45]	[24]	0	1721482396832	4.963233333333333
19256	[15, 15, 20, 4]	[]	[45, 45, 15]	0	1721482178302	3.5046333333333335
8915	[2, 23]	[]	[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 23, 23]	0	1721484292852	1.0521333333333334
18735	[2, 2]	[]	[]	0	1721485005850	19.43615
14178	[2, 24, 34, 34]	[]	[2, 2, 2]	0	1721484017992	1.2265166666666667
10303	[24, 24]	[]	[24, 24, 24]	0	1721491275857	14.17755
2723	[4, 23]	[]	[]	0	1721484813620	3.1362666666666668
2060	[24, 24, 41, 24, 34]	[]	[23, 23, 23, 23, 23, 23, 24, 34]	0	1721490066175	5.8723
10886	[47, 32, 34]	[]	[15, 15, 15, 15, 15, 15]	0	1721483529701	1.86965
22407	[]	[]	[]	0	1721487233889	0.8219833333333333
10503	[24, 15, 4, 18]	[]	[24, 15, 15, 4]	0	1721486453396	4.8924
24836	[40, 21]	[]	[]	0	1721485936973	0.3786
5249	[32]	[]	[]	0	1721489204851	0.11771666666666666
7472	[]	[]	[]	0	1721489175500	0.5414666666666667
4152	[24]	[]	[]	0	1721484404572	0.8939166666666667
1757	[9, 15]	[]	[15]	2	1721489119967	3.9503333333333335
19504	[21, 4, 4]	[]	[4]	5	1721484888151	12.878483333333334
14571	[21, 41]	[]	[]	0	1721488601151	1.6424333333333334
19358	[33]	[]	[]	0	1721486185343	15.000066666666667
10152	[4]	[]	[33, 33, 33]	2	1721485309121	1.3221
20254	[34]	[]	[]	0	1721490005458	0.21345
15759	[24, 24, 24, 6]	[]	[24, 24, 6, 6, 6, 6, 6]	2	1721486813726	13.390716666666666
605	[35, 47, 24, 47, 26]	[]	[47, 47, 26, 26]	0	1721484459696	4.8827
14178	[34, 15, 20, 26, 26, 9, 15]	[]	[34, 34, 34, 26]	2	1721486304193	4.168583333333333
19045	[20, 48]	[]	[20]	0	1721491921719	1.6557
826	[2, 15]	[]	[48]	0	1721491828637	4.055066666666667
15382	[6, 33, 6, 6, 1, 26, 26, 6, 6, 26, 6, 6, 33, 24, 24, 40, 18, 23, 18, 43, 43, 23, 18, 9]	[]	[]	0	1721486169091	24.14485
15446	[18, 18]	[]	[]	0	1721486712045	13.648016666666667
20167	[24, 33, 21, 21, 24, 40, 9, 43, 11, 55, 44, 24, 24, 41, 15, 15, 4, 22, 41, 21, 41, 43, 18, 23, 23, 0, 18]	[23, 18, 24, 44, 11, 21, 33, 24, 21]	[24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0	1721487943699	67.38016666666667
15883	[26, 24, 6, 43, 24, 24, 43, 6, 26, 1, 43, 43]	[]	[26, 26, 26, 26, 26, 26, 24, 43, 24, 24, 43]	0	1721494216963	7.629483333333333
16371	[4, 4]	[]	[]	0	1721488788762	0.83265
19281	[54, 54, 15]	[]	[15, 15]	0	1721494508713	0.5787333333333333
16320	[20]	[]	[15, 15, 15, 15]	0	1721486440243	3.6399
18125	[29]	[]	[]	0	1721487431404	0.18105
15392	[54]	[]	[]	0	1721493069977	0.3296
11148	[6, 24, 24]	[]	[6]	1	1721488925077	2.6540833333333333
20940	[]	[]	[24, 24]	0	1721491978299	4.890883333333333
1848	[4, 4, 18, 41]	[]	[4, 18]	0	1721485150013	5.9778
5249	[4]	[]	[]	0	1721491969470	0.088
12685	[2, 2]	[]	[]	0	1721494501798	1.777
3281	[15, 15, 24, 24, 55, 15]	[]	[2, 2, 2, 15, 55, 55, 55]	0	1721487037891	14.653066666666666
15524	[]	[]	[15, 15]	0	1721492253909	0.40486666666666665
435	[4, 43, 24, 24]	[]	[4, 43, 43]	0	1721486262730	7.575933333333333
4473	[54]	[]	[]	0	1721488531263	0.20898333333333333
917	[34, 34]	[]	[]	0	1721492376796	2.2877
4883	[54, 54, 4, 54]	[]	[54]	0	1721494248243	1.31305
6570	[21, 4, 10, 21, 22, 16]	[]	[21, 21]	0	1721494553199	26.94835
7046	[15]	[]	[]	0	1721488031706	0.4332
5850	[41]	[]	[]	0	1721492239587	0.8733166666666666
19177	[]	[]	[]	0	1721486149428	5.959583333333334
10420	[]	[]	[]	0	1721491137268	0.7487833333333334
11188	[24, 24]	[]	[]	0	1721494928567	12.790316666666667
13619	[]	[]	[]	0	1721494297098	0.97035
17736	[4, 34, 43, 21, 24, 21, 21]	[]	[]	0	1721496006627	18.1571
14793	[24, 43]	[]	[24]	0	1721489007220	1.62305
16566	[54]	[]	[]	0	1721491487203	18.178766666666668
14178	[26, 29, 2, 47, 47, 47, 47]	[]	[26, 26, 26, 26, 47, 47]	0	1721488607206	5.484
8784	[2]	[]	[]	0	1721489802193	1.6182333333333334
14779	[18]	[]	[18, 18]	0	1721486998932	0.45155
18876	[6, 41, 6, 29, 54, 4, 4, 54, 4, 54]	[]	[54, 4, 4]	0	1721489158734	16.4809
8396	[]	[2]	[21, 21]	0	1721495015131	11.9172
4060	[47]	[]	[]	0	1721491916183	0.2826166666666667
2761	[55]	[]	[]	2	1721494466334	2.3342
21345	[16]	[]	[55, 55, 55, 55, 55, 55]	0	1721493067395	0.8250833333333333
11166	[21, 24]	[]	[21, 21, 21, 24, 24]	0	1721489296893	13.65875
9934	[18]	[]	[]	1	1721495497742	2.0757666666666665
14948	[26, 6]	[54, 6, 45]	[6]	0	1721497114066	4.122883333333333
13234	[15]	[]	[]	0	1721492948376	1.1254666666666666
2486	[34, 41, 41]	[]	[15, 15, 15, 15]	0	1721493066982	2.1088833333333334
2779	[]	[4, 45]	[]	1	1721497198138	6.54995
15382	[]	[]	[]	0	1721489913398	30.64453333333333
11048	[41]	[]	[45, 45, 45]	2	1721491175186	1.4207333333333334
3148	[18]	[]	[]	0	1721492446132	0.13153333333333334
11709	[18, 18, 18]	[]	[]	0	1721497998642	8.8896
3535	[24, 24, 34, 34]	[]	[24, 24, 34]	0	1721494397433	7.576316666666667
7114	[26]	[]	[]	0	1721493971524	0.9832333333333333
9033	[41, 18]	[]	[]	2	1721493106182	20.479066666666668
9870	[]	[]	[]	1	1721489749793	0.26488333333333336
14548	[22]	[]	[22, 22, 22]	0	1721494102595	9.228566666666667
9794	[54, 43, 24]	[]	[]	0	1721495901232	19.0879
16021	[21, 21]	[]	[]	0	1721498548465	1.0071833333333333
13457	[15]	[]	[]	0	1721495390633	0.24185
6026	[26, 23, 18, 44, 24, 24, 4]	[]	[]	0	1721499127488	2.3991333333333333
3849	[26]	[]	[]	0	1721489838202	0.3349
20082	[]	[]	[]	0	1721492254185	0.15075
2806	[6]	[]	[6, 6]	0	1721496499113	0.26531666666666665
6099	[2, 47, 6, 34]	[]	[6, 34, 34]	0	1721492777035	5.020166666666666
13686	[54, 4, 10, 54, 26, 34, 34]	[]	[34, 34, 34, 34, 10]	4	1721496807979	12.353983333333334
12225	[40]	[]	[34]	2	1721494916525	3.6577333333333333
9232	[54]	[]	[]	1	1721498190422	0.46048333333333336
17938	[18, 24, 26, 47]	[]	[26, 26, 47]	2	1721499952160	24.381766666666667
15730	[47, 4, 4, 47, 47]	[]	[4, 4]	0	1721497530254	7.513633333333333
20533	[26]	[]	[47]	0	1721496013581	0.5991
13919	[18, 18]	[]	[]	0	1721499065499	0.7191666666666666
8928	[2]	[]	[]	0	1721499196191	1.3542666666666667
15249	[26, 43, 24]	[]	[2]	0	1721498771594	3.9461166666666667
19700	[41, 41, 6, 26]	[]	[41, 6, 6, 26, 26]	0	1721493988530	31.043366666666667
14517	[6, 41]	[]	[26, 26]	1	1721494280061	3.8075666666666668
8042	[54, 15, 2, 15, 10, 9]	[]	[9]	1	1721497010394	8.010933333333334
7368	[2, 2]	[]	[]	0	1721494437916	1.0323
